04:37:31.276 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:38:22.498 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - testng
04:38:22.498 [ApplicationImpl pooled thread 130] INFO  com.browserstack.utils.Helpers - null
04:38:22.500 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:27:51.908 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - testng
14:27:51.911 [ApplicationImpl pooled thread 10] INFO  com.browserstack.utils.Helpers - null
14:27:51.912 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:28:21.969 [ApplicationImpl pooled thread 13] INFO  c.b.l.BrowserStackRunExtension - testng
14:28:21.969 [ApplicationImpl pooled thread 13] INFO  com.browserstack.utils.Helpers - null
14:28:21.970 [ApplicationImpl pooled thread 13] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:24:52.388 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - testng
18:24:52.391 [ApplicationImpl pooled thread 75] INFO  com.browserstack.utils.Helpers - null
18:24:52.393 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:25:51.501 [ApplicationImpl pooled thread 73] INFO  c.b.l.BrowserStackRunExtension - testng
18:25:51.501 [ApplicationImpl pooled thread 73] INFO  com.browserstack.utils.Helpers - null
18:25:51.505 [ApplicationImpl pooled thread 73] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:26:34.533 [ApplicationImpl pooled thread 77] INFO  c.b.l.BrowserStackRunExtension - testng
18:26:34.533 [ApplicationImpl pooled thread 77] INFO  com.browserstack.utils.Helpers - null
18:26:34.533 [ApplicationImpl pooled thread 77] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:41:36.463 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - testng
18:41:36.463 [ApplicationImpl pooled thread 82] INFO  com.browserstack.utils.Helpers - null
