16:00:36.544 [ApplicationImpl pooled thread 331] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:01:17.894 [ApplicationImpl pooled thread 328] INFO  c.b.l.BrowserStackRunExtension - testng
16:01:17.895 [ApplicationImpl pooled thread 328] INFO  com.browserstack.utils.Helpers - null
16:01:17.896 [ApplicationImpl pooled thread 328] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:02:06.588 [ApplicationImpl pooled thread 327] INFO  c.b.l.BrowserStackRunExtension - testng
16:02:06.588 [ApplicationImpl pooled thread 327] INFO  com.browserstack.utils.Helpers - null
16:02:06.590 [ApplicationImpl pooled thread 327] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:05:26.194 [ApplicationImpl pooled thread 338] INFO  c.b.l.BrowserStackRunExtension - testng
16:05:26.194 [ApplicationImpl pooled thread 338] INFO  com.browserstack.utils.Helpers - null
16:05:26.194 [ApplicationImpl pooled thread 338] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:07:16.837 [ApplicationImpl pooled thread 338] INFO  c.b.l.BrowserStackRunExtension - testng
16:07:16.838 [ApplicationImpl pooled thread 338] INFO  com.browserstack.utils.Helpers - null
16:07:16.838 [ApplicationImpl pooled thread 338] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:08:03.913 [ApplicationImpl pooled thread 338] INFO  c.b.l.BrowserStackRunExtension - testng
16:08:03.914 [ApplicationImpl pooled thread 338] INFO  com.browserstack.utils.Helpers - null
16:08:03.917 [ApplicationImpl pooled thread 338] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:09:19.323 [ApplicationImpl pooled thread 339] INFO  c.b.l.BrowserStackRunExtension - testng
16:09:19.324 [ApplicationImpl pooled thread 339] INFO  com.browserstack.utils.Helpers - null
16:09:19.324 [ApplicationImpl pooled thread 339] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:10:05.436 [ApplicationImpl pooled thread 344] INFO  c.b.l.BrowserStackRunExtension - testng
16:10:05.437 [ApplicationImpl pooled thread 344] INFO  com.browserstack.utils.Helpers - null
16:10:05.438 [ApplicationImpl pooled thread 344] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:10:27.946 [ApplicationImpl pooled thread 339] INFO  c.b.l.BrowserStackRunExtension - testng
16:10:27.947 [ApplicationImpl pooled thread 339] INFO  com.browserstack.utils.Helpers - null
16:10:27.949 [ApplicationImpl pooled thread 339] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:11:18.855 [ApplicationImpl pooled thread 339] INFO  c.b.l.BrowserStackRunExtension - testng
16:11:18.856 [ApplicationImpl pooled thread 339] INFO  com.browserstack.utils.Helpers - null
16:11:18.857 [ApplicationImpl pooled thread 339] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:12:59.941 [ApplicationImpl pooled thread 336] INFO  c.b.l.BrowserStackRunExtension - testng
16:12:59.942 [ApplicationImpl pooled thread 336] INFO  com.browserstack.utils.Helpers - null
16:12:59.943 [ApplicationImpl pooled thread 336] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
